,10
1556,3
1003,2
382,10
941,1
4811,9
4848,9
761,1
4197,8
2763,5
4575,9
2083,4
2194,4
898,1
3994,7
1992,3
1402,2
2104,4
3780,7
4385,8
2951,5
1512,3
1188,2
2985,5
3103,6
3871,7
3433,6
108,10
3159,6
2305,4
2299,4
58,10
76,10
796,1
368,10
4904,9
785,1
2592,5
3259,6
3375,6
4939,9
3529,7
1897,3
2333,4
121,10
1839,3
3749,7
3638,7
910,1
124,10
1943,3
1586,3
1257,2
3437,6
4104,8
3379,6
1178,2
2715,5
4553,9
2331,4
2100,4
442,10
2172,4
2867,5
925,1
2328,4
2142,4
4769,9
1411,2
4072,8
3269,6
1509,3
1227,2
4290,8
2351,4
3508,7
2146,4
3276,6
324,10
3075,6
4233,8
1983,3
4462,8
4352,8
1498,2
1502,3
1006,2
2370,4
4179,8
4449,8
1467,2
1225,2
1971,3
2264,4
4066,8
1216,2
3971,7
3494,6
420,10
3418,6
6,10
932,1
1691,3
439,10
1313,2
678,1
2252,4
4609,9
4700,9
3574,7
4632,9
2119,4
2547,5
4960,9
4032,8
1888,3
4243,8
3945,7
3859,7
194,10
1474,2
2138,4
1211,2
3322,6
1657,3
2696,5
3015,6
4673,9
2812,5
4770,9
4323,8
1130,2
1461,2
276,10
4225,8
4717,9
2602,5
1302,2
3727,7
222,10
3545,7
1919,3
573,1
1236,2
3540,7
2640,5
1334,2
3580,7
418,10
2021,4
1104,2
257,10
295,10
2357,4
386,10
4846,9
4934,9
2228,4
2244,4
4334,8
3634,7
4347,8
4383,8
1563,3
4830,9
1400,2
712,1
2876,5
2526,5
209,10
3938,7
1289,2
449,10
4086,8
4719,9
1820,3
958,1
1793,3
2042,4
654,1
3455,6
4675,9
3184,6
1760,3
4733,9
3555,7
2110,4
411,10
1774,3
2497,4
2648,5
2940,5
2622,5
4310,8
4773,9
3698,7
2266,4
2662,5
3554,7
3814,7
2422,4
3565,7
430,10
4478,8
2022,4
1366,2
3107,6
2847,5
1176,2
3347,6
1476,2
3148,6
4229,8
102,10
3435,6
3000,6
1263,2
2877,5
3134,6
2367,4
4002,8
3705,7
3295,6
3167,6
3828,7
1643,3
4504,9
0,10
1580,3
4421,8
4677,9
1356,2
3509,7
4157,8
2231,4
2092,4
2215,4
396,10
4840,9
1064,2
3188,6
4368,8
818,1
1812,3
3299,6
1552,3
3116,6
816,1
1572,3
4841,9
1800,3
4286,8
381,10
4258,8
4348,8
4078,8
3499,7
2307,4
1780,3
2722,5
3659,7
2329,4
864,1
4089,8
3544,7
554,1
1159,2
1213,2
2024,4
3914,7
48,10
4958,9
700,1
652,1
4259,8
3064,6
3307,6
748,1
1455,2
4194,8
4573,9
4688,9
866,1
752,1
1644,3
92,10
2820,5
3097,6
4982,9
4869,9
1490,2
3084,6
2174,4
729,1
3867,7
3948,7
4118,8
1936,3
1745,3
2481,4
3274,6
3648,7
1110,2
3333,6
4209,8
4470,8
4510,9
346,10
1185,2
4001,8
1515,3
4668,9
578,1
75,10
1429,2
3586,7
4429,8
3921,7
4951,9
1846,3
131,10
178,10
2895,5
4650,9
3043,6
2518,5
1842,3
2095,4
2534,5
2369,4
604,1
2623,5
25,10
658,1
2036,4
3313,6
2181,4
173,10
1611,3
437,10
331,10
3096,6
1454,2
342,10
3194,6
3027,6
1088,2
479,10
727,1
3778,7
976,1
2591,5
4346,8
1928,3
1468,2
1224,2
4283,8
1952,3
4829,9
3665,7
1892,3
1299,2
2986,5
4901,9
660,1
3964,7
2925,5
2780,5
3989,7
3822,7
2187,4
3047,6
267,10
2699,5
4317,8
2201,4
3591,7
3930,7
3718,7
3187,6
1278,2
4639,9
3066,6
2746,5
1621,3
4102,8
4149,8
1896,3
3919,7
3010,6
2827,5
67,10
2576,5
2123,4
221,10
333,10
1978,3
4929,9
3785,7
820,1
1226,2
3897,7
2144,4
4277,8
4456,8
4476,8
4299,8
1143,2
397,10
2902,5
4349,8
2755,5
1398,2
1659,3
979,1
1298,2
2596,5
82,10
3091,6
4900,9
3734,7
3817,7
2462,4
423,10
4338,8
1904,3
4537,9
4556,9
3098,6
1565,3
3351,6
839,1
500,1
141,10
1377,2
3693,7
4615,9
1138,2
3841,7
1787,3
2750,5
550,1
3095,6
2019,4
948,1
3781,7
532,1
1829,3
4624,9
4417,8
3866,7
1602,3
639,1
4831,9
967,1
4236,8
4882,9
1683,3
4469,8
2892,5
155,10
2483,4
2834,5
1089,2
2651,5
4239,8
288,10
930,1
2531,5
2259,4
4109,8
2364,4
4305,8
942,1
4660,9
4661,9
1698,3
4707,9
2952,5
2610,5
2807,5
985,1
3292,6
2519,5
2221,4
4776,9
981,1
2488,4
2426,4
3928,7
3386,6
3523,7
4893,9
1457,2
1395,2
264,10
2650,5
929,1
3340,6
2688,5
246,10
3585,7
1758,3
4864,9
4576,9
923,1
2341,4
268,10
669,1
4897,9
1910,3
3853,7
1152,2
4816,9
3599,7
4240,8
3872,7
2471,4
2978,5
1915,3
612,1
2402,4
3526,7
1898,3
1649,3
3271,6
258,10
847,1
4250,8
1233,2
1127,2
1967,3
558,1
4328,8
484,10
1320,2
2416,4
7,10
3275,6
3185,6
1450,2
3975,7
1814,3
773,1
1011,2
4374,8
2614,5
1991,3
1277,2
1783,3
3101,6
446,10
880,1
4458,8
781,1
1749,3
3384,6
4880,9
883,1
3618,7
1091,2
2934,5
531,1
4017,8
3320,6
4833,9
1727,3
610,1
570,1
3685,7
3024,6
343,10
3612,7
3135,6
434,10
1903,3
3799,7
3227,6
2069,4
1537,3
4498,8
2342,4
1517,3
965,1
4405,8
528,1
176,10
3478,6
3990,7
4296,8
572,1
4321,8
3504,7
4681,9
3207,6
2842,5
2208,4
2561,5
2751,5
383,10
852,1
1880,3
370,10
2374,4
4322,8
1105,2
2567,5
3941,7
1336,2
2189,4
4593,9
3836,7
3323,6
4983,9
4847,9
1171,2
2589,5
4894,9
1422,2
2337,4
2647,5
4154,8
1464,2
874,1
2380,4
4339,8
1251,2
2344,4
840,1
3065,6
581,1
204,10
1641,3
2014,4
905,1
631,1
3089,6
1974,3
162,10
3168,6
2860,5
4494,8
617,1
4063,8
1431,2
547,1
4442,8
4545,9
4222,8
3887,7
4612,9
2473,4
4060,8
1861,3
640,1
3679,7
637,1
3513,7
4909,9
2096,4
2784,5
3071,6
3670,7
2837,5
921,1
546,1
3662,7
1900,3
2028,4
2301,4
1885,3
1642,3
3505,7
4808,9
2097,4
4356,8
3558,7
4751,9
4966,9
836,1
601,1
2184,4
3860,7
3331,6
4306,8
1582,3
4265,8
2671,5
2721,5
1070,2
1775,3
4807,9
1283,2
3046,6
4752,9
1836,3
4241,8
1019,2
3364,6
1326,2
475,10
4720,9
1651,3
4921,9
4284,8
3728,7
4884,9
3361,6
1373,2
739,1
3614,7
2436,4
867,1
1140,2
997,1
1337,2
541,1
1099,2
1132,2
4059,8
2843,5
2258,4
3982,7
59,10
2879,5
1938,3
2572,5
4935,9
1078,2
2945,5
3123,6
2484,4
940,1
1080,2
187,10
2630,5
2085,4
2249,4
4889,9
2023,4
2678,5
4043,8
4479,8
226,10
3959,7
1929,3
4656,9
4888,9
1404,2
2179,4
697,1
1124,2
2997,5
2915,5
1778,3
3803,7
1037,2
4174,8
2256,4
313,10
2281,4
1416,2
1036,2
2159,4
4162,8
1754,3
4782,9
2809,5
2694,5
3203,6
3399,6
3427,6
1506,3
1923,3
448,10
2439,4
4722,9
4968,9
3077,6
361,10
2183,4
1134,2
3875,7
2155,4
1830,3
1053,2
22,10
2066,4
1653,3
2583,5
3206,6
3017,6
4031,8
2325,4
460,10
1067,2
87,10
1430,2
2643,5
282,10
462,10
212,10
2495,4
1368,2
234,10
4490,8
597,1
4419,8
2250,4
4026,8
2283,4
662,1
4962,9
2285,4
4715,9
3189,6
2499,5
3428,6
779,1
3372,6
3422,6
4289,8
3192,6
4834,9
685,1
3165,6
2743,5
4457,8
2171,4
2663,5
1850,3
487,10
1688,3
2230,4
3260,6
2320,4
782,1
521,1
522,1
2833,5
3947,7
2398,4
2207,4
3473,6
3548,7
3732,7
2818,5
1511,3
1882,3
651,1
3937,7
3085,6
369,10
3270,6
118,10
3316,6
3676,7
2216,4
3786,7
1613,3
3166,6
962,1
2510,5
3543,7
2819,5
3441,6
3986,7
2415,4
4653,9
4235,8
2185,4
2817,5
2037,4
4260,8
772,1
1284,2
4602,9
4745,9
1414,2
1234,2
2794,5
435,10
1674,3
365,10
4153,8
231,10
4266,8
4036,8
4398,8
407,10
2090,4
86,10
844,1
1031,2
2627,5
3197,6
3262,6
3225,6
2654,5
855,1
78,10
2247,4
4569,9
3652,7
2908,5
2905,5
2279,4
2594,5
4408,8
3865,7
3424,6
2176,4
424,10
392,10
4725,9
3411,6
104,10
2968,5
3132,6
1948,3
1459,2
3253,6
3127,6
2702,5
4788,9
1587,3
3655,7
1731,3
4763,9
4908,9
4212,8
1791,3
2355,4
1940,3
702,1
2442,4
2810,5
496,10
464,10
2683,5
4332,8
172,10
4567,9
4795,9
2540,5
3258,6
3784,7
2260,4
2112,4
900,1
1446,2
3760,7
741,1
2293,4
2452,4
3480,6
4073,8
1206,2
509,1
4517,9
2894,5
3309,6
1549,3
3263,6
2202,4
2566,5
4858,9
2044,4
767,1
4871,9
3733,7
421,10
123,10
4161,8
3624,7
819,1
1403,2
1382,2
2148,4
1575,3
1638,3
1795,3
4814,9
399,10
2310,4
882,1
4972,9
2893,5
1352,2
3040,6
4549,9
2130,4
982,1
456,10
3527,7
1079,2
1950,3
4313,8
689,1
2429,4
641,1
2392,4
1953,3
4620,9
4242,8
3431,6
3524,7
4765,9
2927,5
1884,3
389,10
2494,4
3113,6
2887,5
845,1
542,1
91,10
4916,9
1979,3
3463,6
4077,8
4193,8
2529,5
1676,3
1048,2
1960,3
2530,5
2778,5
237,10
2962,5
3484,6
1133,2
1805,3
4652,9
163,10
3488,6
4708,9
3339,6
4111,8
3519,7
3630,7
3934,7
1811,3
3106,6
3145,6
1428,2
3609,7
3357,6
3392,6
4459,8
4648,9
4600,9
1452,2
593,1
41,10
560,1
2932,5
4376,8
243,10
1339,2
2776,5
2957,5
3794,7
1442,2
261,10
4997,9
1689,3
1725,3
4056,8
834,1
1866,3
2496,4
2010,4
340,10
2984,5
1601,3
4837,9
4693,9
480,10
4392,8
3895,7
3595,7
4637,9
3686,7
3985,7
1766,3
4472,8
2453,4
2873,5
3810,7
4011,8
4676,9
3955,7
1271,2
4942,9
4500,9
4008,8
4141,8
347,10
4116,8
4622,9
2562,5
4589,9
1423,2
656,1
2102,4
